Order ID,Order Date,Customer Name,Region,Product,Units Sold,Unit Price,Sales Channel,Total Revenue,Unit Cost,Profit per Unit,Total Profit,Delivery Time (Days),Discount (%),Final Revenue After Discount
ORD100000,2023-08-27,Carmen Johnston,East,Puzzle Game,10,602,Retail Store,6020,391.3,210.7,2107.0,7,5,5719.0
ORD100001,2023-11-18,Danielle Adams,West,Action Figure,22,1390,Retail Store,30580,820.0999999999999,569.9000000000001,12537.8,9,0,30580.0
ORD100002,2023-10-01,Greg Hill,South,Teddy Bear,35,354,Wholesale,12390,254.88,99.12,3469.2,7,0,12390.0
ORD100003,2024-07-14,Chris Brooks,West,Remote Car,15,626,Online,9390,482.02000000000004,143.97999999999996,2159.7,6,0,9390.0
ORD100004,2024-06-25,William Garrett,East,Teddy Bear,10,528,Online,5280,285.12,242.88,2428.8,2,0,5280.0
ORD100005,2024-09-05,Trevor Baker,East,Action Figure,10,815,Wholesale,8150,578.65,236.35000000000002,2363.5,8,10,7335.0
ORD100006,2024-08-24,Sabrina Reid,North,Remote Car,7,528,Wholesale,3696,264.0,264.0,1848.0,4,0,3696.0
ORD100007,2024-06-17,Michael Coleman,East,Puzzle Game,35,592,Online,20720,384.8,207.2,7252.0,4,10,18648.0
ORD100008,2023-03-09,David Vaughn,West,Teddy Bear,11,886,Wholesale,9746,611.3399999999999,274.6600000000001,3021.26,3,10,8771.4
ORD100009,2023-06-25,Luke Hale,West,Remote Car,48,722,Wholesale,34656,454.86,267.14,12822.72,6,0,34656.0
ORD100010,2024-07-29,Aaron Davis,West,Teddy Bear,20,307,Wholesale,6140,153.5,153.5,3070.0,8,10,5526.0
ORD100011,2024-02-10,Rachel Nguyen,East,Doll House,12,1391,Retail Store,16692,737.23,653.77,7845.24,7,10,15022.8
ORD100012,2023-01-06,Ashley Fischer,North,Teddy Bear,50,1219,Wholesale,60950,694.8299999999999,524.1700000000001,26208.5,1,0,60950.0
